State,Lat,Lng
Andaman and Nicobar,11.7400867,92.6586401
Bihar,25.0960742,85.3131193
Mizoram,23.164543,92.9375739
Daman and Diu,20.428283,72.8397317
Dadra and Nagar Haveli,20.1808672,73.0169135
Delhi,28.635308,77.22496
Nagaland,26.1584354,94.5624426
West Bengal,22.9867569,87.8549755
Haryana,29.0587757,76.085601
Himachal Pradesh,32.1024076,77.5619419
Assam,26.2006043,92.9375739
Uttarakhand,30.066753,79.0192996
Jharkhand,23.6913486,85.2722472
Jammu and Kashmir,34.1490875,76.8259652
Madhya Pradesh,22.9734229,78.6568942
Uttar Pradesh,27.5705886,80.0981869
Sikkim,27.7306273,88.6337839
Chhattisgarh,21.2786567,81.8661442
Chandigarh,30.7333148,76.7794179
Goa,15.2993265,74.1239959
Gujarat,22.258652,71.1923805
Rajasthan,27.0238036,74.2179326
Maharashtra,19.7514798,75.7138884
Tamil Nadu,11.1271225,78.6568942
Puducherry,11.9138598,79.8144722
Andhra Pradesh,17.0477624,80.0981869
Tripura,23.9408482,91.9881527
Arunachal Pradesh,28.2179994,94.7277528
Karnataka,15.3172775,75.7138884
Punjab,31.1471305,75.3412178
Meghalaya,25.4670308,91.366216
Manipur,24.6637173,93.9062687
Odisha,20.2375561,84.2700179
Orissa,20.2375561,84.2700179
Kerala,10.8505159,76.2710833
